startTime,date,count,over,cTime,gTime,bTime,coffee,endTime,notes,,
na,8/27/2020,173,na,3:27,2:22,2:30,Ferris French Roast Dark,na,,,? is miss
na,8/28/2020,173,na,3:01,2:32,?,Ferris French Roast Dark,na,,,na is field was not present in sheet
na,8/29/2020,173,na,4:29,2:30,2:07,Madcap Honduran,na,,,
na,8/30/2020,173,na,3:05,2:29,2:45,Ferris French Roast Dark,na,,,
na,9/1/2020,173,na,3:25,3:03,2:42,Ferris French Roast Dark,na,,,
na,9/2/2020,173,na,3:32,1:22,4:20,madcap 313 southern ethiopian,na,beans are very small,,
na,9/3/2020,173,na,2:43,1:22,3:15,madcap 313 southern ethiopian,na,,,
na,9/4/2020,173,na,2:10,1:22,2:24,madcap 313 southern ethiopian,na,,,
na,9/5/2020,173,na,2:31,1:23,3:15,madcap 313 southern ethiopian,na,,,
na,9/6/2020,173,na,2:01,2:13,2:30,GRCR coffee roasters breakfast blend,na,,,
na,9/7/2020,173,na,2:20,1:28,3:37,madcap 313 southern ethiopian,na,,,
na,9/8/2020,173,na,2:15,1:27,2:22,madcap 313 southern ethiopian,na,,,
na,9/9/2020,173,na,2:05,2:23,2:37,Ferris French Roast Dark,na,,,
na,9/10/2020,173,na,2:05,2:32,2:05,GRCR coffee roasters breakfast blend,na,,,
na,9/11/2020,173,na,1:58,2:26,2:41,madcap 313 southern ethiopian,na,,,
na,9/12/2020,173,na,1:57,2:13,2:18,GRCR coffee roasters breakfast blend,na,,,
na,9/13/2020,173,na,1:40,2:29,1:52,Ferris French Roast Dark,na,,,
na,9/14/2020,173,na,1:43,2:07,2:24,GRCR coffee roasters breakfast blend,na,,,
na,9/16/2020,173,na,1:49,2:15,2:08,GRCR coffee roasters breakfast blend,na,,,
7:13 AM,9/17/2020,173,na,2:06,2:19,2:13,Ferris French Roast Dark,na,,,
9:35 AM,9/18/2020,173,na,1:55,2:10,2:45,GRCR coffee roasters breakfast blend,na,,,
7:40 AM,9/19/2020,173,24,1:39,2:14,2:30,GRCR coffee roasters breakfast blend,na,,,
9:14 AM,9/20/2020,173,23,1:41,2:45,2:30,Ferris French Roast Dark,na,,,
11:53 AM,9/20/2020,173,34,1:41,2:03,1:26,GRCR coffee roasters breakfast blend,na,double pour,,
7:02 AM,9/21/2020,173,43,1:50,2:20,1:52,GRCR coffee roasters breakfast blend,na,,,
7:37 AM,9/22/2020,173,7,?,2:30,3:12,Ferris French Roast Dark,na,,,
7:57 AM,9/23/2020,173,63,1:44,2:22,2:05,GRCR coffee roasters breakfast blend,na,,,
8:07 AM,9/24/2020,173,11,2:01,2:46,3:07,Ferris French Roast Dark,na,,,
9:33 AM,9/25/2020,193,119,2:25,1:46,2:48,madcap 313 southern ethiopian,na,,,
8:9 AM,9/26/2020,183,31,2:09,1:43,3:16,madcap 313 southern ethiopian,na,,,
8:21 AM,9/28/2020,173,28,2:10,2:21,2:37,GRCR coffee roasters breakfast blend,na,,,
8:05 AM,9/29/2020,173,22,2:02,2:35,2:25,Ferris French Roast Dark,na,,,
9:42 AM,9/29/2020,173,11,1:45,1:37,2:20,madcap 313 southern ethiopian,na,,,
10:01 AM,9/30/2020,173,4,1:45,2:07,2:31,GRCR coffee roasters breakfast blend,na,,,
9:25 AM,10/1/2020,180,26,1:55,1:35,2:56,madcap 313 southern ethiopian,na,,,
9:27 AM,10/2/2020,173,13,1:46,2:27,3:09,GRCR coffee roasters breakfast blend + Ferris French Roast Dark,na,,,
8:45 AM,10/3/2020,173,58,2:06,1:25,3:08,madcap 313 southern ethiopian,na,,,
10:22 AM,10/4/2020,173,89,1:44,1:30,3:49,madcap 313 southern ethiopian,na,,,
11:09 AM,10/5/2020,183,20,2:01,1:16,3:30,madcap 313 southern ethiopian,na,,,
9:10 AM,10/6/2020,183,4,2:05,1:28,2:24,madcap 313 southern ethiopian,na,,,
8:37 AM,10/7/2020,183,6,2:08,1:24,2:55,madcap 313 southern ethiopian,na,,,
9:22 AM,10/9/2020,183,4,2:01,1:22,2:31,madcap 313 southern ethiopian,na,,,
10:39 AM,10/10/2020,183,8,2:06,1:24,3:07,madcap 313 southern ethiopian,na,,,
8:19 AM,10/12/2020,156,?,1:31,1:12,3:04,madcap 313 southern ethiopian,na,end of bag so ?,,
10:55 AM,10/13/2020,173,77,1:54,1:39,5:06,madcap oktoberfest,na,,,
8:37 AM,10/14/2020,173,13,2:09,1:47,4:05,madcap oktoberfest,na,,,
10:48 AM,10/15/2020,173,58,1:44,1:39,4:36,madcap oktoberfest,na,,,
8:15 AM,10/16/2020,173,28,1:54,1:37,4:17,madcap oktoberfest,8:30 AM,,,
3:06 PM,10/17/2020,193,51,2:07,1:57,frenchpress,madcap oktoberfest,3:20 PM,,,
11:36 AM,10/19/2020,173,25,2:03,1:38,4:07,madcap oktoberfest,11:49 AM,,,
8:12 AM,10/20/2020,173,27,1:45,1:37,3:32,madcap oktoberfest,8:25 AM,,,
8:31 AM,10/21/2020,173,85,1:56,1:40,4:44,madcap oktoberfest,8:49 AM,,,
9:14 AM,10/22/2020,173,29,1:46,1:33,3:47,madcap oktoberfest,9:34 AM,,,
11:10 AM,10/22/2020,173,64,1:42,1:42,4:17,madcap oktoberfest,11:23 AM,,,
